userID,userLevel,equipment,requestMuscles,duration
70473,advanced,Gym,Quadriceps;Abdominals;Glutes,7
94310,master,Heavy Sandbag;Cable;Kettlebell;Dumbbell,Abdominals;Quadriceps;Glutes;Back;Triceps,9
68972,advanced,Kettlebell;Bodyweight,Triceps;Biceps;Shoulders;Back;Abdominals,5
14298,master,Clubbell;Miniband,Back;Quadriceps;Abdominals;Calves;Abductors,4
78532,expert,Gym,Shins;Shoulders;Quadriceps;Back;Glutes;Abdominals,9
57170,expert,Sliders;Kettlebell,Shoulders;Quadriceps;Glutes;Biceps,4
32607,expert,Sliders;Landmine;Trap Bar,Shoulders;Glutes;Quadriceps,10
50191,expert,Battle Ropes;Miniband;Dumbbell,Glutes;Back;Biceps;Quadriceps;Shoulders;Abdominals,4
94106,master,Kettlebell;Tire,Triceps;Chest;Shoulders;Quadriceps;Abdominals,2
51491,advanced,Barbell;Suspension Trainer;Sandbag;Kettlebell;Sliders,Shoulders;Quadriceps;Abdominals;Biceps,6
