Exercise,DifficultyLevel,TargetMuscleGroup,PrimaryEquipment,#PrimaryItems,SecondaryEquipment,#SecondaryItems,BodyRegion,ForceType,PrimaryExerciseClassification
Stability Ball Dead Bug,Beginner,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Postural
Bodyweight Glute Bridge,Beginner,Glutes,Bodyweight,1.0,,0.0,Lower Body,Unsorted*,Bodybuilding
Bodyweight Bird Dog,Beginner,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Postural
Stability Ball Russian Twist,Beginner,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Stability Ball Feet Elevated Crunch,Beginner,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Ring Hanging Knee Raise,Intermediate,Abdominals,Gymnastic Rings,2.0,,0.0,Midsection,Other,Calisthenics
Parallette Mountain Climber,Novice,Abdominals,Parallette Bars,2.0,,0.0,Midsection,Other,Calisthenics
Parallette Push Up,Novice,Chest,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Postural
Stability Ball V Up Pass,Novice,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Dead Bug,Beginner,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Postural
Bodyweight Alternating Heel Taps,Beginner,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Flutter Kicks,Beginner,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Kneeling Forearm Plank,Beginner,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Calisthenics
Bodyweight Seated Ab Circles,Novice,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Unsorted*
Ring Hanging Oblique Knee Raise,Intermediate,Abdominals,Gymnastic Rings,2.0,,0.0,Midsection,Other,Calisthenics
Stability Ball Stir the Pot,Novice,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Alternating Lateral Kick Through,Intermediate,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Animal Flow
Ring L Sit Hang Flutter Kicks,Intermediate,Abdominals,Gymnastic Rings,2.0,,0.0,Midsection,Other,Calisthenics
Slam Ball Russian Twist,Intermediate,Abdominals,Slam Ball,1.0,,0.0,Midsection,Other,Unsorted*
Dumbbell Otis Up,Novice,Abdominals,Dumbbell,1.0,,0.0,Midsection,Other,Unsorted*
Single Arm Dumbbell Side Plank Reach Through,Advanced,Abdominals,Dumbbell,1.0,,0.0,Midsection,Other,Unsorted*
